VRIJEDI OD (VALID FROM) 15.02.2021.;
1 STARINE - HNK - STARINE;
;RADNI DAN;SUBOTA;NEDJELJA I PRAZNIK;
sati;;minute;;
05:;00,30;00,30;30;
06:;00,30;00,30;30;
07:;00,15,30,45;00,30;00,30
08:;00,30;00,30;30;
09:;00,30;00,30;30;
10:;00,30;00,30;30;
11:;00,30;00,30;30;
12:;00,30;00,30;30;
13:;00,30;00,30;30;
14:;00,30;00,30;30;
15:;00,30;00,30;30;
16:;00,30;00,30;30;
17:;00,30;30;30;
18:;00,30;00,30;
19:;00,30;00,0;30;
20:;00,30;30,30;
21:;00,30;00,30;
22:;00;00;30;
23:;00;00;;
NEDJELJA/PRAZNIK U 7:00 SATI PROMETUJE HNK - STARINE ;
U 7:15 i 7 45   PROMETUJE DO HNK
