VRIJEDI OD (VALID FROM) 15.02.2021.;;;;;;;
8 ŽNJAN - ZVONČAC;;;;;;;
;RADNI DAN;SUBOTA;NEDJELJA I PRAZNIK
sati;;minute;
05:;20;55;;20;;;
06:;20;45;;00;45;15;45
07:;15;25;50;20;50;30;
08:;20;50;;20;50;15;
09:;05;20;50;20;50;00;45
10:;20;35;50;20;50;30;
11:;20;50;;20;50;15;
12:;05;20;50;20;50;00;45
13:;15;30;50;20;50;30;
14:;20;50;;20;50;15;
15:;20;50;;20;50;00;45
16:;20;50;;20;50;30;
17:;20;50;;20;50;15;
18:;20;50;;20;50;00;45
19:;20;50;;20;;30;
20:;10;50;;20;50;15;
21:;20;;;50;;00;45
22:;10;50;;20;;30;
23:;;;;;;;
;;;;;;;
