VRIJEDI OD (VALID FROM) 10.03.2021.;;;;;;;;;
9 RAVNE NJIVE - TR.LUKA - RAVNE NJIVE;;;;;;;;;
sati;"RADNI DAN
Working day";;;;"SUBOTA
Saturday";;;"NEDJELJA I PRAZNIK
Sunday & holiday";
hours;minute;;;;;;;;
05:;30;;;;30;;;40;
06:;10;25;40;;20;40;;00;30
07:;00;15;25;40;00;20;40;00;30
08:;00;20;45;;00;20;45;00;30
09:;15;40;;;15;40;;00;30
10:;00;20;40;;00;20;40;00;30
11:;00;20;40;;00;20;40;00;30
12:;00;20;40;;00;20;40;00;30
13:;00;15;30;;00;30;;00;30
14:;00;30;;;00;30;;00;30
15:;00;15;30;;00;30;;00;30
16:;00;30;;;00;30;;00;30
17:;00;30;;;00;30;;00;30
18:;00;30;;;00;30;;00;30
19:;00;30;;;00;30;;00;30
20:;00;30;;;00;30;;00;30
21:;00;30;;;00;30;;00;30
22:;05;30;;;05;30;;05;30
23:;;;;;;;;;
;;;;;;;;;
