VRIJEDI OD (VALID FROM) 02.04.2021.;;;
11 SPINUT-KAMPUS-PUJANKE-RAVNE NJIVE;;;
;RADNI DAN;SUBOTA;NEDJELJA I PRAZNIK
sati;;minute;
05:;;;
06:;25;;
07:;00, 30;00, 35;N
08:;15, 50;50;E
09:;30;30;
10:;05, 45;45;P
11:;10, 45;10;R
12:;25, 50;25;O
13:;30, 55;00, 55;M
14:;20;;E
15:;10, 40;40;T
16:;30;55;U
17:;05, 45;45;J
18:;20, 50;;E
19:;40;40;
20:;05;;
21:;;;
22:;;;
23:;;;
TRASA LINIJE: Spinut - Bakotićeva - Sedam Kaštela - Hrv. Mornarice - Dom. Rata - Livanjska - Zagrebačka (tržnica) - trajektna lika - Pojišan - Poljička - Bruna Bušića - Matice hrvatske - Velebitska - Vukovarska - Pujanke - Zagorski put - 114. Brigade (Ravne njive);;;
