VRIJEDI OD (VALID FROM) 15.03.2021.;;;;;;;;
15 DUILOVO - ŽNJAN - TR. LUKA - DUILOVO;;;;;;;;
sati;"RADNI DAN
Working day";;;"SUBOTA
Saturday";;;"NEDJELJA I PRAZNIK
Sunday & holiday";
hours;minute;;;;;;;
05:;05,;30,;35;05,;30,;35;05,;30
06:;05,;25;;05,;25;;05;
07:;05,;25,;55;05,;25,;;05;40
08:;15,;45;;15,;45;;15;55
09:;15,;45;;15,;45;;35;
10:;10,;35,;55;10,;35,;55;15;55
11:;20,;45;;20,;45;;35;
12:;05,;30,;55;05,;30,;55;15;55
13:;15,;35;;15,;35;;35;
14:;05,;25,;50;05,;25,;55;15;55
15:;15,;35;;15,;35;;35;
16:;00,;25,;45;00,;25,;45;15;55
17:;15,;45;;15,;45;;35;
18:;15,;45;;15,;45;;15;55
19:;05,;35;;05,;35;;35;
20:;05,;35;;05,;;;05;
21:;05;;;05,;;;05;
22:;05,;;;05,;;;05;
23:;05;;;05;;;05;
Svaki dan u 05:30 prometuje od trajektne luke.;;;;;;;;
Svaki dan u 23:05 prometuje do trajektne luke.;;;;;;;;
