VRIJEDI OD (VALID FROM) 15.02.2021.;;;
16 NINČEVIĆI - HNK - NINČEVIĆI;;;
;RADNI DAN;SUBOTA;NEDJELJA I PRAZNIK
sati;;minute;
05:;00, 35;00, 35;00
06:;00, 40;00, 40;00
07:;10, 45;10, 45;00
08:;15, 45;15, 45;00
09:;15, 45;15, 45;00
10:;15, 45;15, 45;00
11:;15, 45;15, 45;00
12:;15, 45;15, 45;00
13:;15, 45;15, 45;00
14:;15, 45;15, 45;00
15:;15, 45;15, 45;00
16:;15, 45;15, 45;00
17:;15, 45;15, 45;00
18:;15, 45;15, 45;00
19:;15, 45;15, 45;00
20:;15, 45;15, 45;00
21:;15, 45;15, 45;00
22:;15, 45;15, 45;00
23:;;;00
Polasci u 5:00, 7:45, 9:15, 12:00 i 22:45 te subotom u 11:45, 14:15, 15:45, 17:45, 19:15 i u 21:45 na povratku iz grada produžavaju na Megdan.;;;
Polasci s Megdana su u 5:00, 6:00, 9:00, 9:15, 10:45 i u 13:00 te subotom u 13:15, 15:45, 19:15 i u 20:45.;;;
