VRIJEDI OD (VALID FROM) 02.04.2021.;;;;;;;
17 SPINUT - LORA - KAMPUS - TRSTENIK;;;;;;;
sati;"RADNI DAN
Working day";;;"SUBOTA
Saturday";;"NEDJELJA I PRAZNIK
Sunday & holiday";
hours;minute;;;;;;
05:;00;30;;10;45;10;45
06:;15;35;;20;55;20;55
07:;05;20;45;30;;30;
08:;10;35;;05;35;05;40
09:;00;25;;15;50;15;50
10:;15;40;;25;;25;
11:;30;55;;00;35;00;35
12:;20;45;;05;40;05;40
13:;00;20;45;15;55;15;55
14:;30;;;30;;30;
15:;15;35;;05;40;05;40
16:;25;;;15;50;15;50
17:;00;35;;25;;25;
18:;10;40;;00;35;00;35
19:;20;55;;10;45;10;45
20:;30;;;20;55;20;55
21:;05;40;;30;;30;
22:;15;50;;05;40;05;40
23:;20;;;20;;20;
"TRASA LINIJE: Spinut - (studentski dom) - Bakotićeva - Sedam Kaštela - Lora - Hrv. Mornarice
- Dom. Rata - Općina - Vukovarska - Bruna Bušića - Mat. Hrvatske - Velebitska - Mol. Hrvata - Trstenik";;;;;;;
