VRIJEDI OD (VALID FROM) 02.04.2021.;;;
17 TRSTENIK - KAMPUS - LORA - SPINUT;;;
;RADNI DAN;SUBOTA;NEDJELJA I PRAZNIK
sati;;minute;
05:;25, 55;30;30
06:;40;10, 45;10, 45
07:;00, 30, 45;20, 55;20, 55
08:;10, 35;30;30
09:;00, 25;05, 40;05, 40
10:;00, 40;15, 50;15, 50
11:;05, 30;25;25
12:;00, 20, 45;00, 30;00, 30
13:;10, 35, 45;00, 40;00, 40
14:;10, 55;20, 55;20, 55
15:;40;30;30
16:;05, 50;05, 40;05, 40
17:;25;15, 50;15, 50
18:;00, 35;25;25
19:;00, 45;00, 35;00, 35
20:;20, 55;10, 45;10, 45
21:;30;20, 55;20, 55
22:;05, 40;30;30
23:;15, 45;05, 45;05, 45
TRASA LINIJE:  Trstenik - Moliških Hrvata - Velebitska - Mat. Htvatske - Bruna Bušića - Vukovarska - Dubrovačka - Mažuranićevo šetalište - Dom. Rata - Hrv. Mornarice - Lora - Sedam Kaštela - Spinut;;;
