VRIJEDI OD (VALID FROM) 02.04.2021.;;;;;;;;
18 BRNIK - HNK - BRNIK;;;;;;;;
sati;"RADNI DAN
Working day";;;"SUBOTA
Saturday";;;"NEDJELJA I PRAZNIK
Sunday & holiday";
hours;minute;;;;;;;
05:;15;50;;15;50;;;
06:;20;40;;20;40;;00;30
07:;00;20;40;00;20;40;00;30
08:;00;20;40;00;20;40;00;30
09:;00;30;;00;30;;00;30
10:;00;20;40;00;20;40;00;30
11:;00;20;40;00;20;40;00;30
12:;00;20;40;00;20;40;00;30
13:;00;20;40;00;20;40;00;30
14:;00;20;40;00;20;40;00;30
15:;00;20;40;00;20;40;00;30
16:;00;20;40;00;20;40;00;30
17:;00;30;;00;30;;00;30
18:;00;20;40;00;20;40;00;30
19:;00;20;40;00;20;40;00;30
20:;00;20;40;00;20;40;00;30
21:;10;30;;10;30;;10;30
22:;10;50;;10;50;;10;
23:;;;;;;;;
;;;;;;;;
