VRIJEDI OD (VALID FROM) 15.02.2021.;;;
22 KLIS MEGDAN-G.RUPOTINA-HNK-KLIS MEGDAN;;;
;RADNI DAN;SUBOTA;NEDJELJA I PRAZNIK
sati;;minute;
05:;00 (16);00 (16);00 (16)
06:;00- do(to) HNK (16);00- do(to) HNK (16);00- do(to) HNK (16)
07:;00, 45;45;
08:;;;
09:;15;15;00-do (to)  HNK
10:;00, 45-do (to)  HNK;45-do (to)  HNK;
11:;30;45;
12:;;;
13:;00;15-do (to)  HNK;00-do (to)  HNK
14:;30;;20-od  (from) HNK
15:;;45-do (to) HNK;00
16:;00;;30
17:;30;45;
18:;;;00
19:;00;15;30
20:;30;45-do (to)  HNK;
21:;;;
22:;00, 45;;
23:;;;
POLASCI U 7:45, 11:45, 17:45 I 22:45 IZ (from) NINČEVIĆA NA POVRATKU IZ GRADA PRODUŽAVAJU NA (to) K. MEGDAN;;;
Trasa linije: KLIS MEGDAN, GORNJA RUPOTINA, ĐURINI, ZNG, DOMOVINSKOG RATA, HNK, DOMOVINSKOG RATA, ZNG, SOLIN, ĐURINI, GORNJA RUPOTINA, KLIS MEGDAN;;;
