VRIJEDI OD (VALID FROM) 15.02.2021.;;;
3 BRDA - LOVRINAC;;;
;RADNI DAN;SUBOTA;NEDJELJA I PRAZNIK
sati;;minute;
05:;00, 20, 40;00, 20, 40;45
06:;00, 20, 40;00, 20, 40;15, 45
07:;00, 20, 40;00, 20, 40;15, 45
08:;00, 30;00, 30;15, 45
09:;00, 30;00, 30;15, 45
10:;00, 20, 40;00, 20, 40;15, 45
11:;00, 20, 40;00, 20, 40;15, 45
12:;00, 20, 40;00, 20, 40;15, 45
13:;00, 20, 40;00, 20, 40;15, 45
14:;00, 20, 40;00, 20, 40;15, 45
15:;00, 20, 40;00, 20, 40;15, 45
16:;00, 30;00, 30;15
17:;00, 30;00, 30;15, 45
18:;00, 20, 40;00, 20, 40;15, 45
19:;00, 20, 40;00, 20, 40;15, 45
20:;00, 45;00, 45;15, 45
21:;15;15;15
22:;10, 50;10, 50;30
23:;;;
