VRIJEDI OD (VALID FROM) 22.02.2021.;;;
5 DRAČEVAC - HNK - DRAČEVAC;;;
;RADNI DAN;SUBOTA;NEDJELJA I PRAZNIK
sati;;minute;
05:;20;20;
06:;20;20;15 - do HNK
07:;20;20;
08:;30;30;
09:;40;40;40
10:;50;50;50
11:;55;55;
12:;;;00
13:;10;10;10
14:;20;20;20
15:;05-do HNK, 30;30;30
16:;40;40;40
17:;50;50;50
18:;45 - od HNK;;
19:;00;00;00
20:;00;00;
21:;00;00;
22:;00;00;
DRAČEVAC - UL. ANTUNA GUSTAVA MATOŠA - UL. PETRA KREŠIMIRA IV - UL. MARKA;;;
MARULIĆA - UL. PETRA HEKTOROVIĆA - ZNG - POLJIČKA - TRŽNICA - HNK.  U POVRATKU HNK - TRŽNICA - POLJIČKA - ZNG - DRAČEVAC;;;
