VRIJEDI OD (VALID FROM) 07.09.2020.;;;
5A DRAÈEVAC -SOLIN- VISOKA-  HNK - DRAÈEVAC;;;
sati;"RADNI DAN
Working day";"SUBOTA
Saturday";"NEDJELJA I PRAZNIK
Sunday & holiday"
hours;minute;;
05:;;;
06:;00;;
07:;10 - do HNK;;
08:;;N;N
09:;;E;E
10:;;;
11:;;P;P
12:;;R;R
13:;10;O;O
14:;40;M;M
15:;;E;E
16:;00;T;T
17:;;U;U
18:;45 HNK - Draèevac;J;J
19:;;E;E
20:;;;
21:;;;
22:;;;
"Draèevac - P. Krešimira - Tuðmanov most (Solin) - S. Radiæa - TOMMY -
Smokovik - Visoka - Poljièka - Zvonimirova - Zagrebaèka - HNK POVRATAK JE ISTIM PROMETNICAMA U OBRNUTOM SMJERU";;;
;;;
