VRIJEDI OD (VALID FROM) 02.04.2021. ;          ;       ;
6 KILA - VUKOVARSKA - HNK - KILA    ;          ;       ;
                                    ;RADNI DAN ;SUBOTA ;NEDJELJA I PRAZNIK
sati                                ;          ;minute ;
05:                                 ;30        ;30     ;30
06:                                 ;15, 45    ;15, 45 ;15
07:                                 ;15, 45    ;15, 50 ;00, 45
08:                                 ;15, 45    ;15, 45 ;30
09:                                 ;15, 45    ;20, 50 ;15
10:                                 ;15, 45    ;15, 45 ;15
11:                                 ;15, 45    ;15, 45 ;15
12:                                 ;15, 45    ;15, 45 ;15
13:                                 ;15, 45    ;15, 45 ;15
14:                                 ;15, 45    ;15     ;15
15:                                 ;15, 45    ;15, 45 ;15
16:                                 ;15, 45    ;15, 45 ;15
17:                                 ;15, 45    ;15, 45 ;15
18:                                 ;15, 45    ;15, 45 ;15
19:                                 ;15, 45    ;15, 45 ;15
20:                                 ;15, 45    ;15, 45 ;15
21:                                 ;15, 45    ;15     ;15
22:                                 ;15, 45    ;15     ;15
23:                                 ;          ;       ;
